Station,Elevation
0.0,295.6
0.5,295.59
1.0,295.59
1.5,295.58
2.0,295.57
2.5,295.57
3.0,295.56
3.5,295.55
4.0,295.55
4.5,295.54
5.0,295.53
5.5,295.52
6.0,295.52
6.5,295.51
7.0,295.5
7.5,295.48
8.0,295.47
8.5,295.46
9.0,295.44
9.5,295.43
10.0,295.41
10.5,295.4
11.0,295.37
11.5,295.35
12.0,295.33
12.5,295.31
13.0,295.28
13.5,295.26
14.0,295.23
14.5,295.21
15.0,295.18
15.5,295.16
16.0,295.13
16.5,295.11
17.0,295.08
17.5,295.06
18.0,295.03
18.5,295.01
19.0,294.98
19.5,294.96
20.0,294.93
20.5,294.91
21.0,294.88
21.5,294.86
22.0,294.84
22.5,294.82
23.0,294.8
23.5,294.78
24.0,294.75
24.5,294.73
25.0,294.71
25.5,294.69
26.0,294.67
26.5,294.65
27.0,294.63
27.5,294.61
28.0,294.59
28.5,294.57
29.0,294.54
29.5,294.53
30.0,294.51
30.5,294.5
31.0,294.48
31.5,294.46
32.0,294.45
32.5,294.43
33.0,294.41
33.5,294.38
34.0,294.34
34.5,294.31
35.0,294.27
35.5,294.24
36.0,294.2
36.5,294.16
37.0,294.12
37.5,294.08
38.0,294.03
38.5,293.98
39.0,293.94
39.5,293.89
40.0,293.85
40.5,293.81
41.0,293.78
41.5,293.75
42.0,293.72
42.5,293.7
43.0,293.67
43.5,293.64
44.0,293.61
44.5,293.58
45.0,293.56
45.5,293.51
46.0,293.47
46.5,293.42
47.0,293.37
47.5,293.33
48.0,293.3
48.5,293.3
49.0,293.3
49.5,293.3
50.0,293.3
50.5,293.3
51.0,293.3
51.5,293.3
52.0,293.3
52.5,293.3
53.0,293.3
53.5,293.3
54.0,293.3
54.5,293.3
55.0,293.3
55.5,293.3
56.0,293.3
56.5,293.3
57.0,293.3
57.5,293.3
58.0,293.3
58.5,293.3
59.0,293.3
59.5,293.3
60.0,293.3
60.5,293.3
61.0,293.3
61.5,293.3
62.0,293.3
62.5,293.3
63.0,293.3
63.5,293.3
64.0,293.3
64.5,293.3
65.0,293.3
65.5,293.3
66.0,293.3
66.5,293.3
67.0,293.3
67.5,293.3
68.0,293.3
68.5,293.3
69.0,293.3
69.5,293.3
70.0,293.3
70.5,293.3
71.0,293.3
71.5,293.3
72.0,293.3
72.5,293.3
73.0,293.3
73.5,293.3
74.0,293.3
74.5,293.3
75.0,293.3
75.5,293.3
76.0,293.3
76.5,293.3
77.0,293.3
77.5,293.3
78.0,293.3
78.5,293.3
79.0,293.3
79.5,293.3
80.0,293.3
80.5,293.3
81.0,293.3
81.5,293.3
82.0,293.3
82.5,293.3
83.0,293.3
83.5,293.3
84.0,293.3
84.5,293.3
85.0,293.3
85.5,293.3
86.0,293.3
86.5,293.3
87.0,293.3
87.5,293.3
88.0,293.3
88.5,293.3
89.0,293.3
89.5,293.3
90.0,293.3
90.5,293.3
91.0,293.3
91.5,293.3
92.0,293.3
92.5,293.3
93.0,293.3
93.5,293.3
94.0,293.3
94.5,293.3
95.0,293.3
95.5,293.3
96.0,293.3
96.5,293.3
97.0,293.3
97.5,293.3
98.0,293.3
98.5,293.3
99.0,293.3
99.5,293.3
100.0,293.3
100.5,293.3
101.0,293.3
101.5,293.3
102.0,293.3
102.5,293.3
103.0,293.3
103.5,293.3
104.0,293.3
104.5,293.3
105.0,293.3
105.5,293.3
106.0,293.3
106.5,293.3
