Weir_Sta,Weir_Elv,Cell,Cell_Elv,Face_Pt1,Face_Pt2
35.54,253.22,11342,253.67,38779,12553
53.71,253.25,11342,253.67,38779,12553
91.86,253.38,11342,253.67,38779,12553
104.96,254.35,11492,255.062,12553,12734
115.22,253.84,11492,255.062,12553,12734
138.87,253.39,11493,253.844,12734,12736
163.17,253.16,11494,253.781,12736,12738
759.77,253.0,11499,253.344,12749,12558
820.71,253.12,11192,253.75,12373,12372
843.56,253.46,11192,253.75,12373,12372
936.37,253.03,11193,253.344,38775,12375
971.15,253.05,11346,253.243,12375,12561
1130.1,253.17,11838,253.469,13149,13151
1399.0,252.99,12586,253.324,13998,14000
1435.09,252.97,12587,253.19,14000,14002
1489.81,253.0,12589,253.215,14004,14006
1555.47,253.03,12399,253.25,13791,13794
1803.52,252.99,12787,253.131,14230,14232
1862.15,253.38,12789,253.691,14234,14236
2434.97,253.31,14188,253.576,15586,15815
2481.82,253.13,14386,253.25,15815,16043
2517.58,253.197,14581,253.435,16043,16264
2594.83,253.065,14979,253.172,16730,16496
2650.88,253.1,14582,253.238,16266,16044
2843.47,253.03,13587,253.5,15130,38796
2992.6,253.0,13391,253.625,14906,14908
3031.52,253.1,13392,253.75,14908,14910
3033.07,253.486,13392,253.75,14908,14910
3289.51,253.16,12595,253.531,14015,14017
3321.0,253.12,12596,253.594,14017,14019
3563.46,253.0,12215,253.192,13590,13387
3616.26,253.11,11843,253.227,13160,38786
3885.48,252.97,11850,253.17,13174,13176
4037.54,253.07,11199,253.183,12386,38778
4096.19,253.03,11199,253.183,38778,12169
4126.12,253.24,11198,253.428,12168,38777
4287.39,253.0,11043,253.153,12149,12144
4312.56,253.34,11042,253.593,12144,12143
4428.39,253.34,11505,253.482,38783,12759
4582.74,252.97,34298,253.594,38803,13589
4605.15,253.0,12214,253.251,13589,13381
4632.57,252.97,12214,253.251,13589,13381
4649.82,253.16,12028,253.565,13381,13380
4723.77,253.09,12026,253.352,38787,13155
4759.05,253.0,12026,253.352,38787,13155
4789.91,252.99,11840,253.095,13155,12955
5035.77,253.0,34316,253.33,12132,38709
5291.72,252.97,10488,253.11,11456,11289
5314.92,253.27,10355,253.494,11289,11127
5581.26,253.33,9547,253.531,10352,38773
5606.36,253.03,9547,253.531,38773,10200
5858.79,253.56,8735,253.87,9429,38772
6039.47,252.97,8327,253.719,8981,8835
6116.42,252.97,7922,253.149,8551,38769
6217.9,253.06,7923,253.691,8554,8412
6292.26,252.97,7661,253.125,8272,8135
6662.93,252.97,6082,253.076,6586,6451
6760.89,253.94,6081,255.625,6446,6585
6763.75,255.449,6081,255.625,6446,6585
6772.03,254.65,6199,255.717,6585,6715
6784.3,254.94,6199,255.717,6585,6715
6841.46,253.18,6318,254.638,6715,6842
6851.2,253.68,6318,254.638,6715,6842
6865.39,253.55,6437,254.458,6842,6970
6877.2,253.9,6437,254.458,6842,6970
6895.85,253.18,6437,254.458,6842,6970
7057.0,253.06,6555,254.009,7097,7096
7069.8,253.58,6555,254.009,7097,7096
7123.59,253.665,6554,253.784,7096,38767
7130.68,253.0,6554,253.784,38767,6965
7149.93,253.19,6554,253.784,38767,6965
7172.89,252.97,6554,253.784,38767,6965
7345.51,252.97,5962,253.185,6440,6328
7588.9,253.0,5366,253.327,5756,5637
7639.81,253.0,5268,253.359,5637,5636
7720.21,254.42,4942,255.156,5276,5275
7724.74,255.053,4942,255.156,5276,5275
7730.6,254.79,4941,255.633,5275,5274
7737.26,254.34,4941,255.633,5275,5274
7747.6,254.71,4941,255.633,5275,5274
7774.98,254.25,4940,255.673,5274,5273
7786.06,254.72,4940,255.673,5274,5273
7794.93,254.31,4939,255.802,5273,5272
7796.98,255.489,4939,255.802,5273,5272
7801.59,254.56,5061,255.644,5272,5404
7812.68,253.81,5061,255.644,5272,5404
7827.91,254.47,5061,255.644,5272,5404
7849.64,253.56,5061,255.644,5272,5404
7872.97,254.62,5060,255.728,5404,5403
7890.19,255.38,5059,256.323,5403,5402
7909.55,255.84,5059,256.323,5403,5402
7920.31,256.47,5058,256.984,5402,5401
7933.21,256.06,5171,256.653,5401,5527
7959.22,255.72,5171,256.653,5401,5527
7969.15,254.84,5171,256.653,5401,5527
7995.24,255.0,5170,256.469,5527,5526
8003.68,254.32,5170,256.469,5527,5526
8016.35,254.12,5169,256.656,5526,5525
8069.13,254.79,5167,256.467,5524,5523
8086.02,255.09,5167,256.467,5524,5523
8105.01,254.77,5166,255.992,5523,5522
8121.14,254.97,5166,255.992,5523,5522
8151.45,254.64,5165,255.75,5522,5521
8206.33,254.6,5163,255.22,5520,5519
8229.54,254.43,5162,255.125,5519,5518
8252.76,253.7,5161,255.021,5518,5517
8276.43,254.12,5161,255.021,5518,5517
8446.77,254.12,5042,254.513,5384,5250
8478.91,254.53,4918,254.896,5250,5116
8611.94,254.31,4561,254.487,4814,4700
8717.82,253.22,4357,254.049,4572,4508
8958.36,253.69,3949,254.729,4149,4094
8972.44,253.48,3949,254.729,4149,4094
8983.93,253.47,3949,254.729,4149,4094
8993.57,254.15,3949,254.729,4149,4094
9010.0,253.49,3896,254.867,4094,4039
9021.73,253.28,3896,254.867,4094,4039
9038.16,253.08,3844,254.863,4039,3987
9045.2,253.52,3844,254.863,4039,3987
9056.38,253.26,3844,254.863,4039,3987
9075.82,253.78,3794,255.605,3987,3935
9085.53,254.92,3794,255.605,3987,3935
9095.56,254.69,3744,255.719,3935,3884
9130.53,255.97,3695,256.281,3884,3835
9584.78,261.95,3250,262.222,3412,3411
9591.25,262.024,3250,262.222,3412,3411
9599.67,262.12,3249,262.491,3411,3410
9635.84,262.84,3248,263.114,3410,3409
9695.41,262.66,3247,262.969,3409,38764
