Station,Elevation
0.0,295.6
1.5,295.58
3.5,295.55
4.0,295.55
5.0,295.53
7.0,295.5
8.0,295.47
9.0,295.44
10.0,295.41
11.5,295.35
12.0,295.33
13.0,295.28
15.5,295.16
16.0,295.13
17.0,295.08
18.0,295.03
20.5,294.91
21.0,294.88
23.0,294.8
23.5,294.78
24.0,294.75
25.5,294.69
27.0,294.63
29.5,294.53
30.5,294.5
33.0,294.41
33.5,294.38
36.5,294.16
37.5,294.08
38.0,294.03
39.0,293.94
40.0,293.85
41.0,293.78
41.5,293.75
42.0,293.72
44.5,293.58
46.0,293.47
47.5,293.33
48.0,293.3
120.0,293.3
121.0,293.33
122.0,293.35
123.5,293.38
125.0,293.41
126.5,293.44
128.0,293.47
129.5,293.5
130.0,293.5
131.5,293.53
135.0,293.55
136.5,293.58
137.0,293.58
138.5,293.6
139.0,293.6
141.5,293.63
142.0,293.63
144.5,293.66
145.0,293.66
147.5,293.69
149.0,293.72
151.0,293.75
152.5,293.78
154.0,293.8
156.0,293.83
156.5,293.83
157.5,293.85
158.0,293.85
160.0,293.88
160.5,293.88
164.0,293.91
164.5,293.91
166.0,293.88
167.5,293.85
169.5,293.75
170.0,293.72
172.0,293.58
172.5,293.55
173.5,293.5
175.5,293.41
177.0,293.38
178.5,293.35
179.0,293.35
181.0,293.33
185.0,293.33
187.5,293.35
189.0,293.35
192.0,293.38
193.0,293.38
198.0,293.41
199.0,293.41
207.0,293.44
207.5,293.44
210.0,293.47
210.5,293.47
217.0,293.44
218.0,293.41
219.5,293.35
220.5,293.3
504.5,293.3
505.0,293.25
506.0,293.09
506.5,293.02
507.0,292.94
507.5,292.86
508.0,292.78
510.0,292.46
510.5,292.4
511.0,292.36
512.0,292.28
512.5,292.23
513.0,292.1
513.5,291.98
514.0,291.85
514.5,291.73
515.5,291.41
516.5,291.09
517.0,290.94
517.5,290.91
518.0,290.88
518.5,290.85
519.0,290.83
519.5,290.8
520.0,290.77
520.5,290.74
521.0,290.71
522.0,290.65
523.0,290.6
523.5,290.57
525.0,290.5
576.0,290.5
576.5,290.53
577.0,290.6
577.5,290.67
578.0,290.74
580.0,291.02
580.5,291.06
581.5,291.14
582.0,291.18
582.5,291.23
583.0,291.27
583.5,291.31
584.0,291.35
584.5,291.39
585.5,291.48
586.0,291.52
586.5,291.56
587.0,291.6
587.5,291.63
588.0,291.66
588.5,291.69
590.0,291.77
590.5,291.8
591.0,291.8
594.0,291.83
601.5,291.83
602.0,291.85
603.5,291.88
605.0,291.92
605.5,291.95
606.0,291.98
606.5,292.01
607.0,292.04
607.5,292.08
608.5,292.16
609.5,292.31
610.5,292.46
611.0,292.53
611.5,292.6
612.0,292.68
612.5,292.81
616.0,293.94
617.5,293.97
619.0,294.0
621.5,294.19
622.5,294.28
623.0,294.41
625.0,294.53
626.5,294.53
627.5,294.55
628.0,294.55
630.0,294.58
631.0,294.58
635.0,295.38
635.5,295.28
637.0,295.0
637.5,294.91
638.0,294.83
638.5,294.75
640.0,294.63
641.0,294.58
641.5,294.58
643.5,294.6
646.5,294.6
649.0,294.55
650.0,294.55
651.5,294.58
653.5,294.63
654.0,294.63
655.0,294.6
655.5,294.58
660.0,294.47
660.5,294.47
666.0,294.44
666.5,294.44
668.0,294.38
669.5,294.35
675.5,294.35
678.0,294.28
678.5,294.25
679.0,294.22
680.0,294.19
